stationCode,count,start_date,end_date,span_days,Installed Capacity,State,Region
1014288,827,2022-01-01,2024-06-30,912.0,553.135,Penang ,Penaga
1015076,762,2022-01-01,2024-06-30,912.0,12.06,Johor,Segamat 
1016647,766,2022-01-01,2024-04-30,851.0,338.0,Perak ,Ipoh 
1019792,782,2022-01-26,2024-06-30,887.0,553.58,Penang ,Penaga
1024074,908,2022-01-01,2024-06-30,912.0,434.45,Selangor ,Bandar Basru Bangi
1045680,856,2022-01-01,2024-06-30,912.0,50.4,Selangor ,Petaling Jaya
1046420,898,2022-01-01,2024-06-30,912.0,187.65,Penang ,Simpang Ampat
1046632,912,2022-01-01,2024-06-30,912.0,74.36,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur
1047544,820,2022-01-01,2024-06-30,912.0,440.1,Penang,Butterworth
1048439,859,2022-01-01,2024-06-30,912.0,638.88,Penang ,Simpang Ampat
1051925,822,2022-01-01,2024-06-30,912.0,665.1,Negeri Sembilan ,Rembau
1053246,899,2022-01-01,2024-06-30,912.0,380.0,Selangor ,Port Klang
1056562,898,2022-01-01,2024-06-30,912.0,1.161,Johor,Gelang Patah
1057164,826,2022-01-01,2024-06-30,912.0,168.3,Selangor ,Rawng 
1057566,826,2022-01-01,2024-06-30,912.0,673.2,Penang,Butterworth
1064767,792,2022-01-01,2024-06-30,912.0,451.35,Johor,Senai
1066062,851,2022-01-01,2024-06-30,912.0,448.65,Selangor ,Banting
1070049,822,2022-01-01,2024-06-30,912.0,353.25,Melaka ,Cheng 
1070954,910,2022-01-01,2024-06-30,912.0,560.52,Johor,Senai
1071161,912,2022-01-01,2024-06-30,912.0,33.0,Selangor ,Petaling Jaya
1073580,785,2022-03-30,2024-06-30,824.0,616.41,Penang,Perai
1079095,827,2022-01-01,2024-06-30,912.0,245.64,Perak ,Ipoh
1082360,814,2022-01-01,2024-06-30,912.0,321.0,Selangor ,Kapar
1090203,894,2022-01-01,2024-06-30,912.0,573.75,Melaka,Ayer Keroih
1092877,873,2022-01-01,2024-06-30,912.0,20.0,Penang ,Georgetown 
1094292,701,2022-01-01,2024-06-04,886.0,128.8,Selangor ,Puchong
1095798,906,2022-01-01,2024-06-30,912.0,157.04,Johor,Ulu Tiram
1096825,670,2022-01-19,2024-06-30,894.0,344.08,Perak ,Batu Gajah
1096827,571,2022-01-21,2024-06-30,892.0,192.28,Perak ,Ipoh
1097346,584,2022-01-19,2024-06-30,894.0,400.2,Perak ,Ipoh
1100588,887,2022-01-01,2024-06-30,912.0,570.24,Johor,Rengit
1100825,911,2022-01-01,2024-06-30,912.0,15.0,Selangor ,Shah Alam
1100859,912,2022-01-01,2024-06-30,912.0,15.0,Selangor ,Shah Alam
1108003,458,2023-03-14,2024-06-30,475.0,313.2,Pahang ,Ringlet
1111146,705,2022-01-17,2024-05-14,849.0,70.0,Penang,Bayan Lepas
1114607,894,2022-01-01,2024-06-30,912.0,5.0,Kedah,Alor Setar
1115048,878,2022-02-04,2024-06-30,878.0,71.28,Johor,Masai
1115234,780,2022-02-17,2024-06-30,865.0,472.5,Penang ,Nibong Tebal
1115362,910,2022-01-01,2024-06-30,912.0,50.0,Kedah,Bedong 
1115627,796,2022-01-26,2024-06-30,887.0,373.14,Perak ,Ipoh
1118200,604,2022-06-21,2024-04-14,664.0,159.965,Pahang ,Termeloh 
1121709,827,2022-01-01,2024-06-30,912.0,97.2,Selangor ,Subang Jaya
1122571,894,2022-01-13,2024-06-30,900.0,71.55,Perak ,Gopeng
1123138,900,2022-01-01,2024-06-30,912.0,1.447,Johor,Iskandar Puteri
1123726,912,2022-01-01,2024-06-30,912.0,6.9,Johor,Johor Bahru
1127623,772,2022-01-20,2024-06-30,893.0,280.8,Penang ,Balik Pulau
1128445,890,2022-01-23,2024-06-30,890.0,38.0,Johor,Skudai
1129243,883,2022-01-30,2024-06-30,883.0,8.0,Johor,Johor Bahru
1133555,716,2022-02-22,2024-06-30,860.0,547.02,Perak ,Kamunting 
1133737,837,2022-02-09,2024-06-30,873.0,12.32,,
1134024,871,2022-02-11,2024-06-30,871.0,20.0,Johor,Skudai
1134221,648,2022-03-04,2024-06-30,850.0,286.2,Perak ,Ipoh 
1134252,592,2022-02-14,2024-06-30,868.0,62.0,Selangor ,Petaling Jaya
1137024,586,2022-03-13,2024-06-14,825.0,1.349,Selangor ,Klang 
1137142,836,2022-03-10,2024-06-30,844.0,216.0,Johor,Pengerang
1137291,725,2022-03-11,2024-06-30,843.0,572.4,Johor,Batu Pahat 
1137525,669,2022-03-14,2024-06-30,840.0,1.192,Selangor ,Telok Panglima Garang
1137811,753,2022-03-16,2024-06-30,838.0,351.0,Perak ,Tapah Road
1137961,736,2022-03-17,2024-06-30,837.0,503.172,Kedah,Sungai Petani 
1137962,802,2022-04-21,2024-06-30,802.0,43.2,Selangor ,Seri Kembangan 
1138129,828,2022-03-18,2024-06-30,836.0,43.61,Kedah ,Sungai Petani
1138479,627,2022-03-22,2024-06-30,832.0,104.88,Perak ,Gopeng
1138845,685,2022-03-25,2024-06-30,829.0,1.004,Pahang ,Pekan
1138849,737,2022-03-25,2024-06-30,829.0,1.004,Pahang ,Pekan
1138973,733,2022-03-26,2024-06-30,828.0,70.0,Penang ,Batu Kawan
1139056,723,2022-03-28,2024-06-30,826.0,1.251,Selangor ,Rawang
1140483,688,2022-04-08,2024-06-30,815.0,180.36,Johor,Kluang
1142233,793,2022-04-26,2024-06-30,797.0,89.88,Penang ,Bukit Mertajam
1142489,762,2022-04-27,2024-06-30,796.0,75.2,Negeri Sembilan ,Nilai
1142499,782,2022-04-27,2024-06-30,796.0,69.12,Negeri Sembilan ,Nilai
1142909,769,2022-04-29,2024-06-30,794.0,52.92,Negeri Sembilan ,Nilai
1142913,779,2022-04-29,2024-06-30,794.0,20.0,Negeri Sembilan ,Nilai
1143905,696,2022-05-09,2024-06-30,784.0,5.815,Penang,Bayan Lepas
1144394,735,2022-05-11,2024-06-30,782.0,228.96,Selangor ,Banting
1145080,581,2022-09-20,2024-06-30,650.0,102.72,Johor,Nusajaya
1147064,525,2022-09-09,2024-06-30,661.0,133.38,Terengganu,Kerteh
1147440,633,2022-06-01,2024-06-30,761.0,567.0,Penang ,Butterworth
1147600,735,2022-06-01,2024-06-30,761.0,529.74,Penang ,Bayan Lepas
1147605,562,2022-12-09,2024-06-30,570.0,302.4,Selangor ,Shah Alam
1147761,760,2022-06-02,2024-06-30,760.0,10.0,Penang,Bayan Lepas
1149228,602,2022-07-15,2024-06-30,717.0,444.585,Perak ,Ipoh 
1150981,572,2022-06-24,2024-06-30,738.0,200.97,Penang ,Bukit Mertajam
1150986,738,2022-06-23,2024-06-30,739.0,55.8,Penang ,Bukit Mertajam
1151198,601,2022-06-24,2024-06-30,738.0,96.12,Selangor ,Petaling Jaya
1154095,481,2022-07-13,2024-06-30,719.0,168.82,Perak ,Sungai Terap 
1154251,641,2022-07-14,2024-06-30,718.0,412.02,Penang,Bukit Mertajam
1154871,418,2022-07-14,2024-06-30,718.0,161.46,Perak ,Ipoh
1155451,581,2022-07-21,2024-04-26,646.0,543.24,Selangor ,Kapar
1155657,625,2022-07-22,2024-06-30,710.0,246.1,Kedah ,Sungai Seluang
1159009,600,2022-08-15,2024-06-30,686.0,249.31,Penang ,Bukit Mertajam
1159439,616,2022-08-22,2024-06-30,679.0,624.78,Negeri Sembilan ,Rantau
1159443,596,2022-08-17,2024-06-30,684.0,579.96,Penang ,Perai
1160479,489,2022-08-25,2024-06-30,676.0,449.08,Selangor ,Kepong
1161948,664,2022-09-06,2024-06-30,664.0,70.0,Penang ,Bukit Mertajam
1161951,629,2022-09-05,2024-06-30,665.0,89.67,Kedah,Sala Besar
1162097,540,2022-09-06,2024-06-30,664.0,324.3,Perak ,Ipoh 
1162759,534,2022-09-12,2024-06-30,658.0,445.265,Selangor ,Kepong
1162917,657,2022-09-13,2024-06-30,657.0,65.0,Selangor ,Kapar
1162957,654,2022-09-14,2024-06-30,656.0,43.2,Selangor ,Semenyih
1162960,500,2022-09-13,2024-06-30,657.0,65.0,Selangor ,Kapar
1163268,542,2022-09-15,2024-06-30,655.0,135.79,Perak ,Ipoh 
1164778,640,2022-09-27,2024-06-30,643.0,3.31,Penang ,Batu Kawan
1167330,491,2023-01-16,2024-06-30,532.0,193.2,Perak ,Sungai Terap
1168462,563,2022-10-20,2024-06-30,620.0,8.8,Kedah,Sungai Petani 
1169145,328,2022-10-25,2024-06-30,615.0,389.675,Penang ,Sungai Jawi
1169592,523,2022-10-27,2024-06-30,613.0,475.075,Johor,Sungai Mati 
1169827,594,2022-10-28,2024-06-30,612.0,39.69,Penang ,Bukit Mertajam
1170655,516,2022-11-03,2024-06-30,606.0,755.46,Kedah,Gurun 
1170816,585,2022-11-04,2024-06-30,605.0,14.55,Penang ,Kepala Batas
1170841,464,2022-11-04,2024-06-30,605.0,275.5,Penang ,Perai
1172444,498,2022-11-16,2024-06-30,593.0,132.24,Selangor ,Balakong 
1172615,522,2022-11-17,2024-06-30,592.0,10.26,Penang ,Kepala Batas
1173127,431,2023-03-26,2024-06-30,463.0,339.3,Selangor ,Shah Alam
1174842,566,2022-12-12,2024-06-30,567.0,301.86,Selangor ,Shah Alam
1175437,480,2022-12-14,2024-06-30,565.0,381.24,Perak ,Ipoh
1178241,464,2022-12-14,2024-06-30,565.0,42.75,Kedah,Alor Setar
1178720,368,2023-03-26,2024-06-29,462.0,345.0,Selangor ,Klang 
1179080,436,2023-03-27,2024-06-30,462.0,448.89,Selangor ,Port Klang
1179275,416,2023-03-26,2024-06-30,463.0,332.92,Pahang ,Kuantan
1179279,463,2023-03-26,2024-06-30,463.0,401.94,Pahang ,Kuantan
1179509,518,2023-01-26,2024-06-30,522.0,10.0,Johor,Batu Pahat 
1181273,460,2023-03-27,2024-06-30,462.0,97.01,Selangor ,Port Klang
1183332,462,2023-03-27,2024-06-30,462.0,150.42,Selangor ,Shah Alam
1183334,479,2023-01-16,2024-06-30,532.0,250.24,Perak ,Ipoh 
1183355,452,2023-03-26,2024-06-30,463.0,276.86,Perak ,Ipoh 
1185632,244,2023-03-26,2024-05-07,409.0,880.74,Penang ,Perai
1185634,391,2023-01-28,2024-05-07,466.0,545.4,Penang ,Perai
1189146,375,2023-03-26,2024-06-30,463.0,464.34,Perak ,Teronoh
1189797,484,2023-02-20,2024-06-30,497.0,324.82,Penang ,Bukit Mertajam
1189902,438,2023-03-26,2024-06-30,463.0,319.915,Kedah,Sungai Petani
1193084,480,2023-03-09,2024-06-30,480.0,5.0,Perak ,Ipoh
1193325,460,2023-03-29,2024-06-30,460.0,649.64,Johor,Iskandar Puteri
1196623,395,2023-03-30,2024-06-30,459.0,235.48,Pahang ,Gambang
1198040,200,2023-04-07,2024-06-30,451.0,50.14,Perak ,Ipoh
1198043,423,2023-04-08,2024-06-30,450.0,376.05,Perak ,Ipoh
1198427,286,2023-04-11,2024-06-30,447.0,1.045,Johor,Johor Bahru
1199404,417,2023-05-08,2024-06-30,420.0,555.9,Perak ,Siputeh
1199779,431,2023-04-27,2024-06-30,431.0,566.08,Johor,Johor Bahru
1201109,384,2023-06-13,2024-06-30,384.0,93.575,Johor,Johor Bahru
1201110,384,2023-06-13,2024-06-30,384.0,5.0,Johor,Johor Bahru
1202821,289,2023-05-05,2024-06-30,423.0,180.96,Pahang ,Mentakab
1202843,423,2023-05-05,2024-06-30,423.0,282.33,Johor,Johor Bahru
1204731,416,2023-05-12,2024-06-30,416.0,166.46,Pahang ,Mentakab
1205025,415,2023-05-13,2024-06-30,415.0,813.51,Johor,Kulai
1205731,318,2023-05-16,2024-06-30,412.0,140.0,Melaka,Krubong
1209933,395,2023-06-02,2024-06-30,395.0,93.575,Johor,Johor Bahru
1209950,384,2023-06-13,2024-06-30,384.0,93.575,Johor,Johor Bahru
1215310,351,2023-06-21,2024-06-30,376.0,437.9,Perak ,Ipoh 
1215328,372,2023-06-21,2024-06-30,376.0,511.92,Selangor ,Petaling Jaya
1215364,360,2023-06-21,2024-06-30,376.0,462.54,Perak ,Ipoh 
1216014,358,2023-06-23,2024-06-30,374.0,609.0,Perak ,Ipoh 
1216645,298,2023-06-26,2024-06-30,371.0,94.28,Perak ,Ipoh 
1216884,206,2023-06-27,2024-06-30,370.0,188.57,Perak ,Ipoh
1218772,363,2023-07-04,2024-06-30,363.0,20.0,Selangor ,Ampang 
1219051,362,2023-07-05,2024-06-30,362.0,954.72,Johor,Pasir Gudang
1220699,276,2023-07-10,2024-06-30,357.0,1.331,Johor,Pasir Gudang
1224262,197,2023-08-23,2024-06-26,309.0,1.4,Penang ,Bayan Lepas
1224431,343,2023-07-24,2024-06-30,343.0,663.12,Selangor ,Klang 
1249835,244,2023-10-31,2024-06-30,244.0,400.03,Perak ,Langkap 
1252134,218,2023-11-02,2024-06-30,242.0,187.0,Sarawak,Kuching
1252135,218,2023-11-02,2024-06-30,242.0,55.0,Sarawak,Kuching
1252136,218,2023-11-02,2024-06-30,242.0,126.5,Sarawak,Kuching
1252137,218,2023-11-02,2024-06-30,242.0,231.0,Sarawak,Kuching
1252721,240,2023-11-04,2024-06-30,240.0,265.415,Kedah,Kodiang
1254162,227,2023-11-09,2024-06-30,235.0,432.25,Perak ,Ipoh 
1258249,218,2023-11-23,2024-06-30,221.0,410.0,Johor,Gelang Patah
1258312,217,2023-11-24,2024-06-30,220.0,188.57,Perak ,Ipoh
1264918,200,2023-12-13,2024-06-30,201.0,423.0,Johor,Johor Bahru
1266132,193,2023-12-16,2024-06-30,198.0,250.155,Kedah,Kodiang
1273815,159,2024-01-10,2024-06-30,173.0,751.01,Johor,Pasir Gudang
1278081,96,2024-01-23,2024-06-30,160.0,464.58,Penang ,Simpang Ampat
1295074,112,2024-03-11,2024-06-30,112.0,550.45,Johor,Batu Pahat 
1308401,90,2024-04-02,2024-06-30,90.0,571.16,Penang ,Bayan Lepas
1312105,95,2024-03-28,2024-06-30,95.0,70.0,Penang,Bayan Lepas
1345428,31,2024-05-31,2024-06-30,31.0,283.4,Perak ,Ipoh
1375281,0,,,,199.47,Johor,Masai
1385774,0,,,,237.0,Johor,Masai
1391876,0,,,,107.91,Johor,Masai
1412460,0,,,,,Johor,Masai
1421301,0,,,,573.3,Penang ,Bayan Lepas
1422925,0,,,,118.0,Johor,Masai
